الكلية,الدرجة,النوع,المجال
كلية تكنولوجيا الصناعة والطاقة ج القاهرة الجديدة التكنولوجية,388.611666,جامعة,تكنولوجيا
تجارة كفر الشيخ,387.780645,جامعة,تجارة
المعهد العالى للهندسة والتكنولوجيا بالمنزلة - الدقهلية,387.45,معهد,هندسة
معهد فني صحى المنصوره,387.04,معهد,تمريض
آثار الأقصر,386.524193,جامعة,آثار
فنى صحي جنوب الوادي,386.425,جامعة,تمريض
تجارة دمياط,385.995161,جامعة,تجارة
الكلية المصرية الكورية لتكنولوجيا الصناعة و الطاقة ج بنى سويف التكنولوجية,385.946666,جامعة,تكنولوجيا
دار العلوم أسوان,385.4,جامعة,علوم
معهد عالي هندسة وتكنولوجيا العريش,385.4,معهد,هندسة
معهد عالي فنون تطبيقيه التجمع الخامس,385.4,معهد,طب
العالي للحاسبات بمدينة الشروق شعبة إدارة ومحاسبة,384.606451,معهد,حاسبات ومعلومات
تجارة المنصورة,383.945161,جامعة,تجارة
عالي إدارة وتكنولوجيا ش علوم حاسب كفر الشيخ رياضة,383.35,معهد,تكنولوجيا
تربية نوعية فنية عين شمس,383.35,جامعة,تربية
تجارة و إدارة أعمال حلوان,383.285938,جامعة,تجارة
القاهرة العالي (علوم حاسب)قطعة2 م.خدمات البنفسج تجمع اول رياضة,383.145,معهد,حاسبات ومعلومات
فنون تطبيقية بنها,383.085484,جامعة,طب
تكنولوجيا وتنمية الزقازيق علوم مالية و إدارية,382.887097,جامعة,تكنولوجيا
معهد فني صحى طنطا,382.735,معهد,تمريض
تجارة الإسكندرية,380.976316,جامعة,تجارة
عالي علوم إدارية متقدمة وحاسبات ش.(نظم معلومات) ك47 ط اسكندرية,380.548334,معهد,حاسبات ومعلومات
زراعة القاهرة,380.32381,جامعة,زراعة
تربية كفر الشيخ,380.175807,جامعة,تربية
العالي الكندي تكنولوجيا إدارة تجمع خامس,377.9175,معهد,تكنولوجيا
تربية المنصورة,377.398387,جامعة,تربية
الدلتا العالي للحاسبات بالمنصورة لنظم المعلومات الإدارية,377.2,معهد,حاسبات ومعلومات
معهد طيبة العالي شعبة علوم حاسب سقاره بمصروفات رياضة,377.2,معهد,حاسبات ومعلومات
تجارة المنوفية بشبين الكوم,377.2,جامعة,تجارة
معهد عالي فنون تطبيقيه 6 اكتوبر,376.653334,معهد,طب
آثار جنوب الوادي,376.141935,جامعة,آثار
معهد القناة العالى للهندسة بالسويس,375.423334,معهد,هندسة
تربية (تعليم ابتدائي) الفيوم,374.687097,جامعة,تربية
تربية بني سويف,374.554839,جامعة,تربية
تجارة الزقازيق,374.422581,جامعة,تجارة
تمريض القاهرة,374.290323,جامعة,تمريض
تربية المنيا,374.162963,جامعة,تربية
تجارة طنطا,374.025807,جامعة,تجارة
معهد فني صحى الاسكندريه,373.988334,معهد,تمريض
آثار سوهاج,373.1,جامعة,آثار
ك.ت. فني منشات بحريه بور سعيد,373.1,جامعة,غير مصنف
تجارة بنها,372.758334,جامعة,تجارة
معهد المستقبل العالي للدراسات التكنولوجية المتخصصة شـعبة علوم الحاسب رياضة,371.706,معهد,تكنولوجيا
العالي للحاسب الآلي ونظم المعلومات الإدارية بأبي قير,371.697369,معهد,حاسبات ومعلومات
تجارة بور سعيد,370.366666,جامعة,تجارة
العالي لنظم الحاسب ونظم المعلومات 6 اكتوبر,369.859677,معهد,حاسبات ومعلومات
العالي للحاسب ونظم المعلومات ش نظم تجمع خامس,369.205,معهد,حاسبات ومعلومات
تربية الزقازيق,368.521666,جامعة,تربية
الاستزراع المائي و المصايد البحرية العريش,368.385,جامعة,غير مصنف
تجارة دمنهور,368.043334,جامعة,تجارة
تجارة بني سويف,367.941935,جامعة,تجارة
تجارة مدينة السادات,367.906666,جامعة,تجارة
ثروة سمكية السويس,366.95,جامعة,غير مصنف
زراعة و موارد طبيعية أسوان,366.817742,جامعة,طب
الفراعنة العالي شعبة علوم حاسب سقاره بمصروفات رياضة,365.891935,معهد,حاسبات ومعلومات
تكنولوجيا المصايد والاسماك أسوان,365.825807,جامعة,تكنولوجيا
المعهد العالى للهندسة والتكنولوجيا بالطود الاقصر,365.561291,معهد,هندسة
معهد طيبة العالي شعبة علوم حاسب بالمعادى بمصروفات رياضة,365.429033,معهد,حاسبات ومعلومات
العالي للحاسبات بمدينة الشروق شعبة نظم معلومات إدارية,365.105,معهد,حاسبات ومعلومات
تجارة أسوان,364.9,جامعة,تجارة
تجارة قناة السويس بالإسماعيلية,364.040323,جامعة,تجارة
الأكاديمية الحديثة بالمعادى قسم علوم حاسب رياضة,363.67,جامعة,حاسبات ومعلومات
تجارة انتساب موجه الإسكندرية,363.26,انتساب,تجارة
تربية الفيوم,362.585484,جامعة,تربية
معهد فني صحى بنها,362.44,معهد,تمريض
تجارة أسيوط,360.998387,جامعة,تجارة
معهد فني صحى امبابة,360.992188,معهد,تمريض
معهد فني صحى بنى سويف,360.8,معهد,تمريض
تربية الإسكندرية,360.667742,جامعة,تربية
تجارة السويس,359.808065,جامعة,تجارة
تجارة انتساب موجه دمياط,359.51875,انتساب,تجارة
ك.ت. فني للبصريات ابو الريش السيدة زينب,359.345161,جامعة,غير مصنف
تجارة و إدارة أعمال انتساب موجه حلوان,359.2625,انتساب,تجارة
العالى للعلوم الادارية بلقاس دقهلية,358.818334,جامعة,علوم
معهد المستقبل العالي للدراسات التكنولوجية المتخصصة شعبة نظم المعلومات الإدارية,358.75,معهد,تكنولوجيا
العالي ترميم الآثار بأبي قير,358.485484,معهد,آثار
حقوق انتساب موجه كفر الشيخ,358.16,انتساب,حقوق
تجارة العريش,357.295161,جامعة,تجارة
طيبة العالي نظم معلومات طريق سقاره بالهرم,356.7,معهد,حاسبات ومعلومات
القاهرة العالي إدارة الأعمال ونظم المعلومات بالتجمع الاول,356.7,معهد,حاسبات ومعلومات
تجارة انتساب موجه كفر الشيخ,356.633871,انتساب,تجارة
تربية (تعليم ابتدائي) كفر الشيخ,354.980645,جامعة,تربية
الجزيره العالي حاسب ونظم معلومات ادارية (شعبة نظم) بالمقطم,354.39,معهد,حاسبات ومعلومات
حقوق المنيا,353.988709,جامعة,حقوق
طيبة العالي بالمعادى لنظم المعلومات الإدارية,353.945313,معهد,حاسبات ومعلومات
تمريض حلوان,353.571053,جامعة,تمريض
تربية حلوان,353.129033,جامعة,تربية
تجارة انتساب موجه المنصورة,351.301666,انتساب,تجارة
تربية بور سعيد,349.661666,جامعة,تربية
زراعة المنصورة,349.624193,جامعة,زراعة
فنون تطبيقية دمياط,349.074,جامعة,طب
تجارة جنوب الوادي,348.91,جامعة,تجارة
تجارة سوهاج,348.764516,جامعة,تجارة
معهد العباسية للعلوم التجارية والحاسبات الالية ش(مالية),347.574193,معهد,حاسبات ومعلومات
تربية المنوفية بشبين الكوم,347.543334,جامعة,تربية
تكنولوجيا وتنمية الزقازيق علوم زراعية,347.177419,جامعة,تكنولوجيا
تجارة انتساب موجه قناة السويس بالإسماعيلية,345.493334,انتساب,تجارة
النيل العالي للعلوم التجارية شعبة نظم منصورة,342.926563,معهد,علوم
حقوق الفيوم,340.3,جامعة,حقوق
تجارة انتساب موجه القاهرة,339.969355,انتساب,تجارة
تربية عين شمس,339.89,جامعة,تربية
العالي الدولى للغات والترجمة تجمع خامس,339.308065,معهد,ألسن
العالي إدارة شعبة نظم كفر الشيخ,337.591071,معهد,إدارة
زراعة عين شمس,334.877419,جامعة,زراعة
تربية (تعليم ابتدائي) طنطا,331.626923,جامعة,تربية
العالي للغات بمصر جديده,331.416666,معهد,غير مصنف
معهد الجيزه العالي للعلوم الاداريه شعبه نظم معلومات بطموه,328.925807,معهد,حاسبات ومعلومات
دار العلوم الفيوم,328.215789,جامعة,علوم
معهد العباسية للعلوم التجارية والحاسبات الالية ش(نظم معلومات),328.068334,معهد,حاسبات ومعلومات
تجارة انتساب موجه الزقازيق,328.066129,انتساب,تجارة
معهد فني صحى بور سعيد,327.787931,معهد,تمريض
العبور العالي ك21 بطريق بلبيس لنظم المعلومات الإدارية,327.603226,معهد,حاسبات ومعلومات
معهد فني صحى اسوان,327.272581,معهد,تمريض
العالي للحاسب الآلى كنج مريوط لنظم المعلومات الإدارية,326.032,معهد,حاسبات ومعلومات
حقوق الإسكندرية,326.032,جامعة,حقوق
آداب القاهرة,325.54,جامعة,آداب
السياحة والفنادق تعليم تبادلى أسكندرية,325.024193,جامعة,سياحة وفنادق
تجارة انتساب موجه السويس,324.627419,انتساب,تجارة
ك.ت. فني رى وصرف ومساحه المطرية,323.763334,جامعة,غير مصنف
العالي للحاسب ونظم المعلومات ش إدارة تجمع خامس,322.240476,معهد,حاسبات ومعلومات
تجارة انتساب موجه عين شمس,322.114516,انتساب,تجارة
حقوق القاهرة,322.055,جامعة,حقوق
المعهد الكندى العالى للادارة 6 اكتوبر,321.85,معهد,إدارة
حقوق سوهاج,320.893334,جامعة,حقوق
النيل العالي للعلوم التجارية شعبة محاسبة منصورة,318.57,معهد,حاسبات ومعلومات
العالي للحاسبات والمعلومات شعبة نظم طنطا,318.365,معهد,حاسبات ومعلومات
معهد الألسن العالي بمدينة نصر لنظم المعلومات الادارية,317.545,معهد,حاسبات ومعلومات
معهد فني صحى اسماعيليه,317.34,معهد,تمريض
عالي دراسات نوعية بمصر الجديده نظم المعلومات الإدارية,310.916666,معهد,حاسبات ومعلومات
حقوق دمياط,310.78,جامعة,حقوق
تجارة انتساب موجه بنها,310.37,انتساب,تجارة
المعهد الفنى للتمريض بالجونة,308.161291,معهد,تمريض
الأكاديمية الدولية لعلوم الإعلام 6 اكتوبر,302.63125,جامعة,علوم
ك.ت. فني صناعى نجع حمادى بنين,298.308065,جامعة,صناعة
زراعة الإسكندرية,297.117742,جامعة,زراعة
السياحة والفنادق تعليم تبادلى حلوان,297.117742,جامعة,سياحة وفنادق
تجارة انتساب موجه بور سعيد,296.654839,انتساب,تجارة
