الكلية,الدرجة,النوع,المجال
معهد فني صحى امبابة,375.15,معهد,تمريض
معهد فني صحى بنها,374.876666,معهد,تمريض
تربية بنات عين شمس,374.876666,جامعة,تربية
حقوق الفيوم,374.125,جامعة,حقوق
العالي للغات 6 اكتوبر,373.783334,معهد,غير مصنف
تربية (طفولة) الإسكندرية,372.826666,جامعة,تربية
تجارة انتساب موجه القاهرة,371.87,انتساب,تجارة
الاكاديمية الدولية لعلوم الإعلام (شعبة هندسة )6اكتوبر,368.59,جامعة,هندسة
تربية عين شمس,368.521666,جامعة,تربية
فنون جميلة (فنون) حلوان,367.36,جامعة,فنون جميلة
تجارة دمياط,367.223334,جامعة,تجارة
المعهد العالي للهندسة والتكنولوجيا بدمياط الجديدة,366.95,معهد,هندسة
معهد فني صحى بور سعيد,365.16,معهد,تمريض
تربية طفولة مبكرة المنوفية,364.011666,جامعة,تربية
تكنولوجيا وتنمية الزقازيق علوم مالية و إدارية,362.645,جامعة,تكنولوجيا
معهد الدلتا العالي للهندسة والتكنولوجيا بالمنصورة,362.3375,معهد,هندسة
زراعة القاهرة,362.3375,جامعة,زراعة
تربية المنوفية بشبين الكوم,361.415,جامعة,تربية
تربية نوعية القاهرة,360.39,جامعة,تربية
معهد عالي هندسة وتكنولوجيا العريش,358.34,معهد,هندسة
تجارة انتساب موجه عين شمس,357.684,انتساب,تجارة
تربية كفر الشيخ,354.445,جامعة,تربية
تجارة الإسكندرية,352.463334,جامعة,تجارة
تجارة السويس,349.525,جامعة,تجارة
معهد المستقبل العالى للهندسة والتكنولوجيا بالمنصورة,349.363158,معهد,هندسة
تربية (تعليم ابتدائي) المنيا,349.16,جامعة,تربية
معهد عالي هندسة وتكنولوجيا كفر الشيخ,348.841666,معهد,هندسة
العالي للحاسبات بمدينة الشروق شعبة نظم معلومات إدارية,348.021666,معهد,حاسبات ومعلومات
تربية (تعليم ابتدائي) الزقازيق,347.065,جامعة,تربية
تمريض طنطا,346.04,جامعة,تمريض
تمريض بنها,343.238334,جامعة,تمريض
معهد الجزيرة العالى للهندسة والتكنولوجيا بالمقطم,339.275,معهد,هندسة
تمريض عين شمس,338.570313,جامعة,تمريض
زراعة عين شمس,335.311666,جامعة,زراعة
تجارة الزقازيق,333.535,جامعة,تجارة
تربية فنية حلوان بالزمالك,332.17,جامعة,تربية
تربية حلوان,332.031666,جامعة,تربية
تربية (تعليم ابتدائي) المنصورة,327.194643,جامعة,تربية
تجارة انتساب موجه كفر الشيخ,326.633334,انتساب,تجارة
تمريض الزقازيق,324.241666,جامعة,تمريض
المعهد العالى للهندسة الالكترونية بلبيس,323.9,معهد,هندسة
معهد عالي طيبة إدارة البنوك وأسواق المال سقارة الهرم,322.627586,معهد,إدارة
العالي الدولى للغات والترجمة تجمع خامس,321.634211,معهد,ألسن
تربية طفولة مبكرة بني سويف,321.098334,جامعة,تربية
معهد عالي عبور إدارة وحاسبات ونظم بلبيس شعبة علوم حاسب بمصروفات رياضة,311.053334,معهد,حاسبات ومعلومات
تربية طفولة مبكرة المنصورة,308.183334,جامعة,تربية
تربية (تعليم ابتدائي) الإسكندرية,301.691666,جامعة,تربية
تربية طفولة مبكرة الإسكندرية,289.87,جامعة,تربية
